ID,HordeSourceText_lang,AllianceSourceText_lang,TitleName_lang,GarrTypeID,GarrFollowerTypeID,HordeCreatureID,AllianceCreatureID,HordeGarrFollRaceID,AllianceGarrFollRaceID,HordeGarrClassSpecID,AllianceGarrClassSpecID,Quality,FollowerLevel,ItemLevelWeapon,ItemLevelArmor,HordeSourceTypeEnum,AllianceSourceTypeEnum,HordeIconFileDataID,AllianceIconFileDataID,HordeGarrFollItemSetID,AllianceGarrFollItemSetID,HordeUITextureKitID,AllianceUITextureKitID,Vitality,HordeFlavorGarrStringID,AllianceFlavorGarrStringID,HordeSlottingBroadcastTextID,AllySlottingBroadcastTextID,ChrClassID,Flags,Gender,AutoCombatantID,CovenantID
6,,,,2,1,79374,79374,12,12,9,9,5,90,600,600,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
7,,,,2,1,79376,79376,3,3,10,10,5,90,600,600,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
8,,,,2,1,78008,78008,4,4,12,12,5,90,600,600,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
15,,,,2,1,78009,78009,9,9,2,2,5,90,600,600,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
16,,,,2,1,79359,79359,9,9,4,4,5,90,600,600,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
18,,,,2,1,79375,79375,3,3,3,3,5,90,600,600,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
19,,,,2,1,79371,79371,11,11,5,5,5,90,600,600,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
20,,,,2,1,79372,79372,11,11,7,7,5,90,600,600,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
21,,,,2,1,79373,79373,12,12,8,8,5,90,600,600,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
32,|cFFFFD200Zone:|r Frostfire Ridge|n,|cFFFFD200Zone:|r Frostfire Ridge|n,,2,1,79607,79607,15,15,28,28,2,90,600,600,1,-1,1066116,1066116,55,55,0,0,0,0,0,0,0,0,1,0,0,0
34,|cFFFFD200Quest:|r Winds of Change|n|cFFFFD200Zone:|r Frostfire Ridge|n,|cFFFFD200Quest:|r Qiana Moonshadow|n|cFFFFD200Zone:|r Shadowmoon Valley,,2,1,79599,79611,11,8,38,8,2,90,600,600,-1,-1,1066111,1066112,97,49,0,0,0,0,0,0,0,0,1,1,0,0
87,,,,2,1,82738,82739,9,2,38,38,2,90,600,600,-1,-1,1066164,1066165,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88,,,,2,1,82763,82772,9,6,35,35,2,90,600,600,-1,-1,1066174,1066176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
