ID,ItemID,ItemAppearanceModifierID,ItemAppearanceID,OrderIndex,TransmogSourceTypeEnum,Flags
14,17,0,153,0,9,0
15,25,0,154,0,5,0
16,35,0,155,0,5,0
17,36,0,156,0,5,0
18,37,0,157,0,3,0
19,38,0,158,0,5,0
20,39,0,159,0,3,0
21,40,0,160,0,3,0
22,43,0,161,0,3,0
23,44,0,162,0,3,0
24,45,0,163,0,5,0
25,47,0,164,0,3,0
26,48,0,165,0,3,0
27,49,0,166,0,5,0
28,51,0,167,0,3,0
29,52,0,168,0,3,0
30,53,0,169,0,5,0
31,55,0,170,0,3,0
32,56,0,171,0,3,0
33,57,0,172,0,3,0
34,59,0,173,0,3,0
35,60,0,174,0,5,0
36,61,0,175,0,5,0
37,79,0,176,0,5,0
38,80,0,177,0,5,0
39,85,0,178,0,3,0
40,120,0,179,0,3,0
41,121,0,180,0,3,0
42,127,0,181,0,5,0
43,129,0,182,0,3,0
44,139,0,183,0,3,0
45,140,0,184,0,3,0
46,143,0,185,0,9,0
47,147,0,186,0,3,0
48,148,0,187,0,5,0
49,153,0,188,0,3,0
50,154,0,189,0,5,0
51,192,0,190,0,9,0
52,193,0,191,0,3,0
53,194,0,192,0,3,0
54,195,0,193,0,3,0
55,200,0,194,0,3,0
56,201,0,195,0,3,0
57,202,0,196,0,3,0
58,203,0,197,0,3,0
59,209,0,198,0,3,0
60,210,0,199,0,3,0
61,236,0,200,0,3,0
62,237,0,201,0,3,0
63,238,0,202,0,3,0
64,239,0,203,0,3,0
65,285,0,204,0,3,0
66,286,0,205,0,3,0
67,287,0,206,0,3,0
68,647,0,207,0,4,0
69,710,0,208,0,5,0
70,711,0,209,0,3,0
71,714,0,210,0,3,0
72,718,0,211,0,3,0
73,719,0,212,0,5,0
74,720,0,213,0,4,0
75,727,0,214,0,4,0
76,746,0,215,0,9,0
77,753,0,216,0,4,0
78,754,0,217,0,4,0
79,756,0,218,0,4,0
80,763,0,219,0,4,0
81,766,0,220,0,4,0
82,767,0,221,0,4,0
83,768,0,222,0,4,0
84,776,0,223,0,4,0
85,778,0,224,0,9,0
86,781,0,225,0,4,0
87,788,0,226,0,9,0
88,789,0,227,0,4,0
89,790,0,228,0,4,0
90,791,0,229,0,4,0
91,792,0,230,0,3,0
92,793,0,231,0,3,0
93,794,0,232,0,3,0
94,795,0,233,0,3,0
95,796,0,234,0,3,0
96,797,0,235,0,3,0
97,798,0,236,0,3,0
98,799,0,237,0,3,0
99,809,0,238,0,4,0
100,810,0,239,0,4,0
101,811,0,240,0,4,0
102,812,0,241,0,4,0
103,816,0,242,0,4,0
104,820,0,243,0,4,0
105,821,0,244,0,4,0
106,826,0,245,0,4,0
107,827,0,246,0,4,0
108,832,0,247,0,4,0
109,837,0,248,0,3,0
110,838,0,249,0,3,0
111,839,0,250,0,3,0
112,840,0,251,0,3,0
113,843,0,252,0,3,0
114,844,0,253,0,3,0
115,845,0,254,0,3,0
116,846,0,255,0,3,0
117,847,0,256,0,3,0
118,848,0,257,0,3,0
119,849,0,258,0,3,0
120,850,0,259,0,3,0
121,851,0,260,0,3,0
122,852,0,261,0,3,0
123,853,0,262,0,3,0
124,854,0,263,0,3,0
125,859,0,264,0,5,0
126,860,0,265,0,5,0
127,863,0,266,0,4,0
128,864,0,267,0,4,0
129,865,0,268,0,4,0
130,866,0,269,0,4,0
131,867,0,270,0,4,0
132,868,0,271,0,4,0
133,869,0,272,0,4,0
134,870,0,273,0,4,0
135,871,0,274,0,4,0
136,872,0,275,0,1,0
137,873,0,276,0,4,0
138,876,0,277,0,5,0
139,880,0,278,0,4,0
140,885,0,279,0,4,0
141,886,0,280,0,4,0
142,888,0,281,0,1,0
143,890,0,282,0,4,0
