ID,Flags,ExpansionID,HPScalingCurveID,DMGScalingCurveID,HPPrimaryStatScalingCurveID,DMGPrimaryStatScalingCurveID,PrimaryStatScalingModPlayerDataElementCharacterID,PrimaryStatScalingModPlayerDataElementCharacterMultiplier,MinLevelSquish,MaxLevelSquish,MinLevelScalingOffset,MaxLevelScalingOffset,AllowedMinOffset,AllowedMaxOffset,LfgMinLevel,LfgMaxLevel,ILevel,XpMultQuest
1,0,-3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0,0,1
4,0,1,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0,0,1
8,0,1,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,1
9,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0,0,1
10,0,0,0,0,0,0,0,0,7,30,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,7,30,0,0,0,0,0,0,0,1
12,0,0,0,0,0,0,0,0,7,30,0,0,0,0,0,0,0,1
13,0,0,0,0,0,0,0,0,10,30,0,0,0,0,0,0,0,1
14,0,0,0,0,0,0,0,0,10,30,0,0,0,0,0,0,0,1
15,0,0,0,0,0,0,0,0,10,30,0,0,0,0,0,0,0,1
16,0,0,0,0,0,0,0,0,10,30,0,0,0,0,0,0,0,1
17,0,0,0,0,0,0,0,0,10,30,0,0,0,0,0,0,0,1
18,0,0,0,0,0,0,0,0,10,30,0,0,0,0,0,0,0,1
19,0,0,0,0,0,0,0,0,10,30,0,0,0,0,0,0,0,1
20,0,0,0,0,0,0,0,0,10,30,0,0,0,0,0,0,0,1
21,0,0,0,0,0,0,0,0,15,30,0,0,0,0,0,0,0,1
22,0,0,0,0,0,0,0,0,15,30,0,0,0,0,0,0,0,1
23,0,0,0,0,0,0,0,0,15,30,0,0,0,0,0,0,0,1
24,0,0,0,0,0,0,0,0,10,30,0,0,0,0,0,0,0,1
